date,level
15/01/1979,1.93
16/01/1979,1.931666667
17/01/1979,1.933333333
18/01/1979,1.935
19/01/1979,1.936666667
20/01/1979,1.938333333
21/01/1979,1.94
22/01/1979,1.941666667
23/01/1979,1.943333333
24/01/1979,1.945
25/01/1979,1.946666667
26/01/1979,1.948333333
27/01/1979,1.95
28/01/1979,1.934285714
29/01/1979,1.918571429
30/01/1979,1.902857143
31/01/1979,1.887142857
01/02/1979,1.871428571
02/02/1979,1.855714286
03/02/1979,1.84
04/02/1979,1.840714286
05/02/1979,1.841428571
06/02/1979,1.842142857
07/02/1979,1.842857143
08/02/1979,1.843571429
09/02/1979,1.844285714
10/02/1979,1.845
11/02/1979,1.845714286
12/02/1979,1.846428571
13/02/1979,1.847142857
14/02/1979,1.847857143
15/02/1979,1.848571429
16/02/1979,1.849285714
17/02/1979,1.85
18/02/1979,1.846
19/02/1979,1.842
20/02/1979,1.838
21/02/1979,1.834
22/02/1979,1.83
23/02/1979,1.829333333
24/02/1979,1.828666667
25/02/1979,1.828
26/02/1979,1.827333333
27/02/1979,1.826666667
28/02/1979,1.826
01/03/1979,1.825333333
02/03/1979,1.824666667
03/03/1979,1.824
04/03/1979,1.823333333
05/03/1979,1.822666667
06/03/1979,1.822
07/03/1979,1.821333333
08/03/1979,1.820666667
09/03/1979,1.82
10/03/1979,1.806666667
11/03/1979,1.793333333
12/03/1979,1.78
13/03/1979,1.766666667
14/03/1979,1.753333333
15/03/1979,1.74
16/03/1979,1.726666667
17/03/1979,1.713333333
18/03/1979,1.7
19/03/1979,1.68
20/03/1979,1.66
21/03/1979,1.64
22/03/1979,1.62
23/03/1979,1.6
24/03/1979,1.58
25/03/1979,1.56
26/03/1979,1.54
27/03/1979,1.52
28/03/1979,1.5
29/03/1979,1.48
30/03/1979,1.46
31/03/1979,1.442
01/04/1979,1.424
02/04/1979,1.406
03/04/1979,1.388
04/04/1979,1.37
05/04/1979,1.352
06/04/1979,1.334
07/04/1979,1.316
08/04/1979,1.298
09/04/1979,1.28
10/04/1979,1.285
11/04/1979,1.29
12/04/1979,1.295
13/04/1979,1.3
14/04/1979,1.305
15/04/1979,1.31
16/04/1979,1.315
17/04/1979,1.32
18/04/1979,1.325
19/04/1979,1.33
20/04/1979,1.38
21/04/1979,1.43
22/04/1979,1.48
23/04/1979,1.53
24/04/1979,1.542222222
25/04/1979,1.554444444
26/04/1979,1.566666667
27/04/1979,1.578888889
28/04/1979,1.591111111
29/04/1979,1.603333333
30/04/1979,1.615555556
01/05/1979,1.627777778
02/05/1979,1.64
03/05/1979,1.648
04/05/1979,1.656
05/05/1979,1.664
06/05/1979,1.672
07/05/1979,1.68
08/05/1979,1.688
09/05/1979,1.696
10/05/1979,1.704
11/05/1979,1.712
12/05/1979,1.72
13/05/1979,1.728
14/05/1979,1.736
15/05/1979,1.744
16/05/1979,1.752
17/05/1979,1.76
18/05/1979,1.771428571
19/05/1979,1.782857143
20/05/1979,1.794285714
21/05/1979,1.805714286
22/05/1979,1.817142857
23/05/1979,1.828571429
24/05/1979,1.84
25/05/1979,1.851428571
26/05/1979,1.862857143
27/05/1979,1.874285714
28/05/1979,1.885714286
29/05/1979,1.897142857
30/05/1979,1.908571429
31/05/1979,1.92
01/06/1979,1.925
02/06/1979,1.93
