"Dobele, Nokrišnu daudzums starp terminiem, mm",,,,,,,,
Datums \ Laiks,05:00,06:00,08:00,09:00,17:00,18:00,20:00,21:00
04.01.2014,,,,,3.1,,0.3,
05.01.2014,,,,,0.1,,0.9,
06.01.2014,0.8,,1.7,,0.6,,,
07.01.2014,,,0.1,,3.5,,,
08.01.2014,,,,,0,,0.3,
09.01.2014,0,,,,0.1,,0.9,
10.01.2014,8.5,,0,,1.7,,0.6,
11.01.2014,0.4,,0,,0,,0.1,
12.01.2014,2.3,,1.7,,0.3,,0,
13.01.2014,0.4,,0.5,,0,,,
17.01.2014,,,,,0,,,
18.01.2014,,,,,0,,,
31.01.2014,0,,0.4,,0.5,,,
01.02.2014,3.1,,1.4,,0.7,,,
02.02.2014,,,,,1.7,,0.4,
03.02.2014,,,,,0.8,,0.2,
08.02.2014,3,,0.3,,0,,,
09.02.2014,,,,,0,,,
10.02.2014,0,,,,0.4,,0.7,
11.02.2014,0.5,,,,,,0.4,
12.02.2014,0.6,,1.4,,0,,,
15.02.2014,0,,,,,,,
16.02.2014,1.7,,1.1,,0,,,
17.02.2014,0.3,,,,0.5,,0.3,
18.02.2014,0.4,,,,,,0,
19.02.2014,1.9,,1.5,,3.9,,1.8,
20.02.2014,0.7,,0,,1.4,,0,
21.02.2014,0.3,,0.1,,0,,,
22.02.2014,0.4,,,,0.3,,,
27.02.2014,,,0,,,,,
02.03.2014,,,,,0,,,
03.03.2014,,,0,,0,,,
05.03.2014,,,,,,,0,
06.03.2014,0.5,,0,,0.6,,,
08.03.2014,,,0,,0,,,
15.03.2014,0.4,,3.4,,2.7,,1.2,
16.03.2014,,,1.6,,1,,0,
17.03.2014,,,,,5.2,,,
18.03.2014,0.3,,,,,,0.1,
19.03.2014,1.4,,,,0,,1,
20.03.2014,4.5,,,,,,,
22.03.2014,0.4,,2,,,,,
23.03.2014,1,,1.9,,,,,
24.03.2014,,,,,0.4,,0.1,
25.03.2014,,,5.8,,1,,0,
26.03.2014,3,,0,,0,,,
01.04.2014,,,,,,,,0
02.04.2014,,0,,,,,,
07.04.2014,,0.3,,0,,0,,0.6
08.04.2014,,2.4,,,,0,,
