Date,Site,1_N/NO3,1_N/NH4,1_N kop,1_P/PO4,1_P kop,1_Susp.vielas,1_pH,2_N/NO3,2_N/NH4,2_N kop,2_P/PO4,2_P kop,2_Susp.vielas,2_pH
19.08.2014,1,0.3,0.01,0.6,0,0.01,4,8.22,2.30,1.29,3.90,0.43,0.46,34.800,7.39
12.09.2014,1,0.1,0.05,0.3,24.19,26.25,290.4,5.53,0.10,0.05,2.80,2.25,2.80,50.900,6.9
27.09.2014,1,0.7,1.94,6.4,0.49,0.5,13.1,7.46,0.10,0.20,7.90,0.16,0.42,38.310,7.67
11.10.2014,1,0,2.48,13,2.1,2.44,50.94,8.19,0.10,1.09,7.80,0.53,1.26,43.750,7.77
24.10.2014,1,0.1,1.89,4.9,0.7,0.8,8.59,7.45,0.10,1.25,8.20,0.29,0.50,95.660,7.14
21.11.2014,1,0.02,1.48,12,2.79,3.99,74.4,6.75,0.03,1.84,12.50,0.06,0.19,9.200,7.24
23.12.2014,1,7,3.05,10.3,0.55,0.59,9.4,7.4,4.10,2.54,6.90,0.13,0.16,30.100,8.01
21.01.2015,1,4.6,1.1,5.7,0.1,0.02,25.4,8.19,3.60,2.49,6.40,0.18,0.20,31.500,7.38
20.03.2015,1,1.8,2.07,4.1,0.16,0.19,8.4,8.25,0.70,3.98,8.80,0.15,0.18,21.400,8.11
15.04.2015,1,8.1,3.2,13.1,0.43,0.47,12.1,7.87,0.80,3.13,7.30,0.09,0.10,24.700,7.67
18.05.2015,1,4.8,3.41,22.3,6.99,7.67,33.9,7.08,0.40,3.16,8.30,0.10,0.13,26.800,7.27
26.06.2015,1,5.8,2.68,10.6,0.53,0.55,28,7.79,6.90,2.24,14.70,0.02,0.03,20.600,7.33
21.07.2015,1,0,3.76,13.8,6.07,6.13,20.7,7.49,0.40,2.87,5.50,0.01,0.02,31.900,7.43
20.08.2015,1,1.1,0.82,2.3,0.28,0.35,45.1,7.86,1.30,2.85,5.60,0.01,0.03,31.400,7.22
30.09.2015,1,0.01,0,19.3,4.46,5.47,54,7.36,0.40,0.40,6.50,0.44,0.45,22.100,7.6
16.10.2015,1,0.07,0,35.7,5.41,6.14,110.3,7.78,2.46,1.00,7.40,0.10,0.14,41.700,7.33
10.11.2015,1,0.1,0.04,2.2,11.45,17.3,195.4,6.56,0.00,0.34,9.40,3.65,4.19,77.800,6.95
15.12.2015,1,2.28,0.1,4.6,0.48,0.57,9.6,7.66,3.08,0.03,7.40,3.14,3.22,7.900,7.48
12.01.2016,1,1.82,0.5,3.6,0.28,0.34,13.9,7.78,2.47,0.60,8.50,1.88,2.57,25.200,7.47
26.01.2016,1,1.1,2.53,5.2,0.72,0.74,15.3,6.64,2.40,2.24,10.00,0.64,0.78,61.700,7.38
12.02.2016,1,0.2,0.58,21.9,4.35,5.72,161.3,7.14,10.40,1.11,13.60,0.24,0.27,10.500,8
23.02.2016,1,0.4,0.24,14.7,0.72,1.9,111,6.82,22.30,0.58,25.00,0.19,0.23,8.300,8.17
08.03.2016,1,0.1,2.94,12.4,1.53,1.6,622,7.3,1.70,2.83,9.10,0.05,0.06,8.900,8.04
07.04.2016,1,12,3.39,18.3,0.68,0.83,54.842,7.64,10.50,3.52,14.10,0.03,0.05,24.766,7.73
10.05.2016,1,22.6,1.35,24.8,0.37,0.41,112.673,7.56,8.20,2.31,11.20,0.04,0.07,25.127,7.51
31.05.2016,1,7.33,0.2,13,2.77,3.32,350.309,6.17,4.84,0.20,7.30,0.42,0.48,28.270,7.11
07.07.2016,1,1.2,6.92,10.6,2.38,2.67,61.454,7.7,2.80,0.79,4.30,0.04,0.06,45.295,7.92
05.08.2016,1,0.1,4.72,6.8,2.49,2.7,13.596,6.69,1.70,0.79,3.30,0.29,0.32,61.872,7.19
12.10.2016,1,2.2,0.12,3.1,0.03,0.06,26.791,8.25,0.40,1.03,2.40,0.18,0.19,22.687,7.63
07.11.2016,1,0.2,2.74,10.4,3.47,3.89,8.627,7.43,1.50,0.99,5.20,0.02,0.03,4.800,7.48
01.12.2016,1,0.4,4.19,15.1,12.54,13.48,10.652,6.88,0.10,0.44,2.10,0.19,0.38,28.817,7.20
10.01.2017,1,0.2,30.31,30.5,10.85,11.56,7.01,7.07,0.20,0.74,5.30,1.25,1.28,1.748,7.50
08.02.2017,1,9.2,0.4,10.5,9.82,10.45,14.463,7.22,3.81,0.20,4.70,1.76,1.78,10.950,8.18
08.03.2017,1,0.1,5.37,7.4,3.41,3.56,8.421,7.16,0.20,4.82,5.60,2.49,2.70,39.810,7.98
12.04.2017,1,12.7,4.11,16.8,0.78,0.82,2.654,7.88,13.70,1.99,15.70,0.14,0.24,8.844,8.15
11.05.2017,1,45.6,1.15,47.3,0.45,0.5,18.925,8.38,6.30,1.27,7.90,0.15,0.18,10.105,8.20
24.05.2017,1,7.5,0.61,10.9,1,1.08,33.97,7.81,4.30,1.23,5.60,0.10,0.12,26.916,8.23
07.06.2017,1,5,3.11,10.1,1.82,1.89,48.04,7.2,8.10,0.81,8.90,0.08,0.13,9.167,8.14
21.06.2017,1,11.5,1.13,13.3,0.39,0.42,26.122,7.82,13.00,0.02,13.50,0.08,0.09,15.758,7.82
06.07.2017,1,8.6,2.05,12.3,1.382,1.945,73.166,7.06,3.1,0.00,4.0,0.191,0.215,46.111,7.95
27.07.2017,1,18.9,1.76,21.5,1.705,1.71,26.935,7.29,2.6,0.03,3.3,0.213,0.228,12.929,7.42
24.08.2017,1,20.4,18.87,39.9,1.038,1.122,49.577,6.99,4.4,0.10,5.3,0.057,0.071,17.905,7.74
04.09.2017,1,0.4,1.68,6.5,2.13,2.231,26.535,7.06,12.7,0.16,14.0,0.092,0.108,82.157,7.58
24.09.2017,1,0.4,6.04,9,1.983,2.158,32.475,7.19,0.8,0.33,2.0,0.057,0.069,22.885,7.51
09.10.2017,1,0.3,10.17,13.2,3.707,4.472,25.347,6.75,0.5,0.69,2.4,0.051,0.063,11.800,7.41
24.10.2017,1,0.4,13.13,16.7,6.852,7.356,69.109,7.34,0.4,0.53,2.3,0.114,0.131,52.698,8.17
09.11.2017,1,0.3,29.5,30,8.98,11.2,129.216,7.01,0.6,0.35,2.6,0.080,0.104,37.426,7.33
07.12.2017,1,0.7,7.42,8.8,0.796,0.821,31.549,7.45,0.9,1.99,3.2,0.155,0.161,24.700,8.04
21.12.2017,1,0.2,3.45,5.4,1.018,1.109,93.922,7.43,1.2,1.03,2.8,0.062,0.078,19.800,7.49
12.01.2018,1,0.7,15.12,18.6,3.838,4.361,26.854,7.19,1.0,1.13,3.2,0.024,0.039,17.366,7.84
02.02.2018,1,0.6,5.22,14.5,21.883,28.225,83.492,6.82,0.3,2.64,3.9,0.248,0.276,19.733,7.43
17.02.2018,1,0.2,10.9,16.6,33.659,55.474,414.509,6.57,0.7,3.05,4.8,0.097,0.119,24.119,7.79
10.03.2018,1,0.4,0.2,33.1,6.598,20.381,173.464,6.91,0.2,1.76,17.8,4.819,6.101,37.088,6.83
28.03.2018,1,0.2,32.95,36.6,9.321,15.859,222.294,6.46,0.1,9.93,12.3,2.684,3.506,40.240,7.32
07.04.2018,1,0.3,4.67,8.9,0.625,1.161,202.42,8.92,0.2,6.32,8.1,1.932,1.949,20.240,7.32
28.04.2018,1,0.2,5.91,10.2,6.026,7.092,13.374,7.19,0.0,7.80,8.6,2.382,2.640,21.083,7.50
16.05.2018,1,0.1,6.18,12.7,9.252,10.182,71.248,7.17,0.0,6.83,8.2,1.942,1.970,30.038,7.30
28.05.2018,1,0.1,3.88,10.6,8.627,9.603,50.261,7.25,0.1,6.04,7.0,2.738,2.802,29.742,7.42
14.06.2018,1,0,16.38,28,17.467,20.143,86.24,7.08,1.6,5.01,6.8,0.786,0.806,29.060,7.41
26.06.2018,1,0,12.97,20.8,6.529,9.8,107.192,6.9,0.0,4.66,6.7,0.214,0.307,43.215,7.19
13.07.2018,1,0.1,0.24,14.7,9.229,10.761,136.284,6.93,4.4,0.42,6.1,0.584,0.628,32.000,7.18
30.07.2018,1,0,0.28,20.6,23.126,26.4,181.051,7.39,3.8,0.41,5.8,0.593,0.627,51.528,7.86
14.08.2018,1,0,0.26,18.5,10.19,12.608,200.731,7.15,1.7,0.38,5.3,0.611,0.628,27.052,8.03
27.08.2018,1,0,14.09,15.9,12.303,12.78,48.203,7.63,0.9,2.05,4.1,0.318,0.350,44.353,8.32
06.09.2018,1,0,20.45,25.2,17.847,19.01,84.267,7.26,0.2,2.51,4.7,0.285,0.332,26.393,7.33
17.09.2018,1,0,15.12,15.6,10.372,12.928,74.98,6.91,0.2,2.87,4.1,0.047,0.059,31.657,8.14
11.10.2018,1,0.1,13.86,16.2,7.94,8.24,89.422,7.52,1.5,0.89,3.0,0.25,0.272,177.333,7.72
25.10.2018,1,0.2,1.33,6.2,0.52,0.698,80.276,7.31,0,1.50,2.7,0.59,0.612,31.240,7.13
08.11.2018,1,0.1,26.85,28.1,16.719,17.557,74.154,6.83,1.8,1.82,3.6,1.43,1.487,184.545,8.21
19.12.2018,1,0,16.11,18.4,8.71,10.031,41.524,7.27,1.0,2.69,4.8,2.491,2.852,283.161,7.83
1/18/2019,1,0.1,27.92,29.7,0.067,0.093,45.187,7.29,0.1,3.42,5.7,7.040,7.986,61.908,7.12
3/8/2019,1,0,6.62,10.9,2.256,2.559,746.427,7.05,0.3,6.84,7.8,8.543,10.645,41.565,8.00
5/6/2019,1,0.1,12.48,25.6,13.916,14.618,178.48,6.98,0.1,5.50,6.6,0.106,0.320,52.503,7.31
6/14/2019,1,0.1,20.92,21.3,7.323,8.564,85.49,6.89,2.5,8.82,11.5,4.261,4.556,58.240,7.76
7/16/2019,1,0.5,8.71,10.9,9.852,12.3,40.431,7.14,0.0,3.58,7.2,1.618,1.846,307.759,6.93
8/7/2019,1,0,16.24,18.8,26.161,26.689,198.249,7.2,2.2,6.54,9.9,4.799,6.689,41.565,7.18
9/9/2019,1,0,15.5,19.3,5.986,8.385,199.165,7.02,2.1,9.01,11.2,8.242,9.056,27.240,7.34
10/3/2019,1,17.4,1.3,19,2.582,2.633,29.417,7.39,2.3,3.30,5.6,8.128,8.465,26.067,7.12
11/6/2019,1,0,9.6,16.8,1.758,2.508,395.042,7.14,0.1,5.89,8.4,10.171,10.176,18.147,7.47
12/4/2019,1,6.6,5.8,14,1.17,1.274,15.735,7.72,1.2,6.64,8.7,5.781,5.851,25.887,7.85
1/7/2020,1,0.1,4.3,9.8,1.139,1.397,31.878,6.73,0.1,2.88,4.0,2.166,2.196,24.208,7.34
2/13/2020,1,0.1,6,10.6,0.928,1.729,50.747,6.93,2.0,0.00,2.9,0.248,0.259,158.276,7.95
